Price,Date,Weekly_Average
Ticker,,
0,2021-01-01,1912.199951171875
1,2021-01-08,1908.0
2,2021-01-15,1829.4000244140625
3,2021-01-22,1854.9000244140625
4,2021-01-29,1842.0
5,2021-02-05,1794.300048828125
6,2021-02-12,1825.0
7,2021-02-19,1764.300048828125
8,2021-02-26,1768.0999755859375
9,2021-03-05,1690.5999755859375
10,2021-03-12,1715.9000244140625
11,2021-03-19,1742.199951171875
12,2021-03-26,1721.300048828125
13,2021-04-02,1726.5
14,2021-04-09,1750.800048828125
15,2021-04-16,1770.4000244140625
16,2021-04-23,1786.0999755859375
17,2021-04-30,1771.800048828125
18,2021-05-07,1842.9000244140625
19,2021-05-14,1824.5
20,2021-05-21,1872.0999755859375
21,2021-05-28,1897.5
22,2021-06-04,1869.300048828125
23,2021-06-11,1900.9000244140625
24,2021-06-18,1775.699951171875
25,2021-06-25,1777.699951171875
26,2021-07-02,1778.699951171875
27,2021-07-09,1803.5999755859375
28,2021-07-16,1830.0999755859375
29,2021-07-23,1800.0
30,2021-07-30,1828.0
31,2021-08-06,1799.800048828125
32,2021-08-13,1758.300048828125
33,2021-08-20,1784.0999755859375
34,2021-08-27,1803.4000244140625
35,2021-09-03,1820.9000244140625
36,2021-09-10,1789.5999755859375
37,2021-09-17,1758.800048828125
38,2021-09-24,1749.699951171875
39,2021-10-01,1754.300048828125
40,2021-10-08,1757.0
41,2021-10-15,1794.5
42,2021-10-22,1787.0999755859375
43,2021-10-29,1793.0999755859375
44,2021-11-05,1794.9000244140625
45,2021-11-12,1860.800048828125
46,2021-11-19,1851.199951171875
47,2021-11-26,1791.0999755859375
48,2021-12-03,1767.5
49,2021-12-10,1773.800048828125
50,2021-12-17,1804.0
51,2021-12-24,1810.0
52,2021-12-31,1825.0999755859375
53,2022-01-07,1791.800048828125
54,2022-01-14,1821.5
55,2022-01-21,1838.0
56,2022-01-28,1797.5
57,2022-02-04,1806.0
58,2022-02-11,1822.0
59,2022-02-18,1899.4000244140625
